fid,REG,PROV,MUN,SEC,DM,TOPONIMIA,KM2,ENLACE,RUP,TOPO2
5390,05,02,10,12,01,EL FRANCÉS,7.71192606577258,02100112,07,El Francés
5391,05,02,07,03,02,LA CIÉNAGA,8.94321192834983,02070203,07,La Ciénaga
6331,01,09,01,04,07,BONAGUA ARRIBA,6.44447208623248,09010704,01,Bonagua Arriba
6332,01,25,04,04,01,LICEY ABAJO,2.64062013577396,25040104,01,Licey Abajo
6333,01,18,08,02,04,GUALETE,38.4668928018152,18080402,01,Gualete
5392,05,02,10,05,01,ARROYO COLORADO,4.60510278609165,02100105,07,Arroyo Colorado
5393,05,02,02,04,01,BOQUERÓN,47.2091819374746,02020104,07,Boquerón
5394,05,02,10,02,01,EL MEMISO,21.5596767176262,02100102,07,El Memiso
5395,05,02,02,02,02,DUVERGÉ,60.6665762568914,02020202,07,Duvergé
5396,05,02,02,02,01,HATILLO,74.8206219691275,02020102,07,Hatillo
5397,07,16,01,02,01,CABO ROJO,354.385376716198,16010102,06,Cabo Rojo
5398,07,04,01,02,01,MANUEL DIAZ,26.8005012325027,04010102,06,Manuel Diaz
5399,04,27,01,01,01,MAO (ZONA URBANA),11.4677021602227,27010101,04,Mao (Zona Urbana)
5400,04,27,01,02,01,LOS QUEMADOS,104.50409036953,27010102,04,Los Quemados
5401,04,27,01,01,02,ÁMINA (ZONA URBANA),2.37857984394421,27010201,04,Ámina (Zona Urbana)
5402,04,27,01,02,02,ÁMINA,40.2415856772409,27010202,04,Ámina
5403,04,27,01,03,02,ENTRADA DE MAO,73.5975345194836,27010203,04,Entrada De Mao
5404,04,27,01,01,03,JAIBÓN O PUEBLO NUEVO (ZONA URBANA),2.15135430306129,27010301,04,Jaibón O Pueblo Nuevo (Zona Urbana)
5405,04,27,01,02,03,GURABO AFUERA,11.8035463902943,27010302,04,Gurabo Afuera
5406,04,27,01,03,03,PRESTILES,39.4002861138785,27010303,04,Prestiles
